# kind	fedora-package/source	command/purpose	status
dnf	coreutils	GNU core utilities	required-base
dnf	git	git	confirmed
dnf	curl	curl	confirmed
dnf	ca-certificates	TLS certificates	confirmed
dnf	gcc	C compiler	confirmed
dnf	gcc-c++	C++ compiler	confirmed
dnf	make	build tool	confirmed
dnf	python3	python3	confirmed
dnf	python3-pytest	pytest	confirmed
dnf	niri	niri Wayland compositor	confirmed-fedora44
dnf	mesa-dri-drivers	Mesa DRI drivers including virtio_gpu	confirmed-fedora44
dnf	mesa-libgbm	Mesa GBM runtime	confirmed-fedora44
dnf	xwayland-satellite	Integrated Xwayland support required by Fedora niri package	confirmed-fedora44
dnf	mesa-libEGL	EGL runtime required by niri	confirmed-fedora44
dnf	libwayland-server	Wayland server runtime loaded by niri	confirmed-fedora44
dnf	libseat	Seat/session backend used by Smithay/niri	confirmed-fedora44
dnf	libinput	Input backend used by Smithay/niri	confirmed-fedora44
dnf	libxkbcommon	Keyboard handling runtime used by Smithay/niri	confirmed-fedora44
dnf	libdisplay-info	Display information runtime used by niri/Smithay	confirmed-fedora44
dnf	pixman	Software rendering/compositing runtime used by Smithay	confirmed-fedora44
dnf	libglvnd-egl	EGL dispatch runtime	confirmed-fedora44
dnf	xorg-x11-server-Xwayland	Xwayland server runtime	confirmed-fedora44
dnf	ly	LY display manager	confirmed-fedora44
dnf	selinux-policy-devel	SELinux policy build tooling for Ly local policy	confirmed-fedora44
dnf	pipewire	pipewire	confirmed
dnf	pipewire-pulseaudio	PipeWire PulseAudio compatibility	verify-in-qemu
dnf	wireplumber	wireplumber/wpctl	confirmed
dnf	pavucontrol	pavucontrol	confirmed
dnf	playerctl	playerctl	confirmed
dnf	brightnessctl	brightnessctl	confirmed
dnf	swayidle	swayidle	confirmed
dnf	swaylock	swaylock	confirmed
dnf	swaybg	swaybg	confirmed
dnf	mako	mako/makoctl	confirmed-fedora44
dnf	wl-clipboard	wl-copy/wl-paste	confirmed
dnf	fzf	fzf	confirmed
dnf	ripgrep	rg	confirmed
dnf	jq	jq	confirmed
dnf	ffmpeg-free	ffmpeg/ffprobe	verify-in-qemu
dnf	flameshot	flameshot	confirmed
dnf	libnotify	notify-send	confirmed
dnf	bluez	Bluetooth stack	confirmed
dnf	bluez-tools	Bluetooth CLI helpers	verify-in-qemu
dnf	upower	UPower D-Bus	confirmed
dnf	xdg-desktop-portal	xdg portal core	confirmed
dnf	xdg-desktop-portal-gtk	GTK portal fallback and file chooser	confirmed
dnf	xdg-desktop-portal-gnome	Niri screencast portal	confirmed-fedora44
dnf	gnome-keyring	Secret portal/keyring support	confirmed
dnf	nautilus	GNOME file chooser integration	confirmed
dnf	grim	grim screenshot helper	confirmed
dnf	slurp	slurp region selector	confirmed
dnf	openssh-clients	ssh-agent	confirmed
dnf	vim-enhanced	vim	confirmed
dnf	kitty	kitty terminal	confirmed
dnf	neovim	nvim	confirmed
dnf	swayimg	swayimg	confirmed
dnf	tesseract	tesseract OCR	verify-in-qemu
dnf	foot	foot terminal	confirmed-fedora44
dnf	jetbrains-mono-fonts	JetBrains Mono terminal font	confirmed-fedora44
dnf	easyeffects	easyeffects	confirmed-fedora44
dnf	qemu-guest-agent	libvirt/QEMU guest integration	confirmed-fedora44
dnf	spice-vdagent	SPICE guest desktop integration (resize/input/clipboard)	confirmed-fedora44
dnf	acpid	ACPI event handling in VM	verify-in-qemu
dnf	cliphist	clipboard history	confirmed-fedora44
dnf	glow	Markdown pager	confirmed-fedora44
dnf	alacritty	alacritty	verify-in-qemu
dnf	systemd	busctl	confirmed-fedora44
dnf	firefox	firefox	verify-in-qemu
dnf	glib2	gsettings	confirmed-fedora44
dnf	pulseaudio-utils	pactl	verify-in-qemu
dnf	wtype	wtype	verify-in-qemu
dnf	wlsunset	wlsunset	verify-in-qemu
dnf	snapshot	snapshot	confirmed-fedora44
dnf	atuin	atuin	confirmed-fedora44
dnf	calcurse	calcurse calendar	confirmed-fedora44
dnf	calibre	calibre ebook manager	confirmed-fedora44
dnf	du-dust	dust disk usage	confirmed-fedora44
dnf	fd-find	fd file finder	confirmed-fedora44
dnf	fuzzel	fuzzel launcher	confirmed-fedora44
dnf	mpv	mpv media player	confirmed-fedora44
dnf	procs	procs process viewer	confirmed-fedora44
dnf	rclone	rclone cloud storage	confirmed-fedora44
dnf	syncthing	syncthing file sync	confirmed-fedora44
dnf	waybar	waybar status bar	confirmed-fedora44
dnf	hugo	Hugo runtime for Knowledge personal web	confirmed-fedora44
dnf	d2	D2 diagram renderer for Knowledge search	confirmed-fedora44
dnf	polkit-kde	Fedora PolicyKit authentication agent	confirmed-fedora44
dnf	xz	Typst upstream archive extraction	required-typst
vendor	brave-browser	Brave browser	official-brave-dnf-repo
vendor	google-chrome-stable	Google Chrome	official-google-rpm
vendor	microsoft-edge-stable	Microsoft Edge	official-microsoft-rpm-repo
vendor	mullvad-browser	Mullvad Browser	official-mullvad-dnf-repo
vendor	code	Visual Studio Code	official-microsoft-vscode-repo
vendor	yandex-browser-stable	Yandex Browser	official-yandex-rpm
vendor	spotify	Spotify	needs-supported-fedora-method
upstream	tor-browser	Tor Browser	official-tor-linux-tarball
source-service	rclone-gdrive.service	rclone mount/sync	resolved-fedora-template
source-service	rclone-gdrive-shared.service	rclone shared mount/sync	resolved-fedora-template
source-service	knowledge-personal-search.service	knowledge personal search	enabled-on-source-system
source-service	knowledge-personal-watch.service	knowledge personal watch	enabled-on-source-system
source-service	knowledge-personal-web.service	knowledge personal web	enabled-on-source-system
source-service	plasma-polkit-agent.service	Fedora polkit authentication agent	resolved-polkit-kde
source-service	gnome-keyring-daemon.socket	gnome keyring	resolved-fedora-package
hardware	intel-media-driver	Intel VA-API media driver	physical-machine-only
hardware	microcode_ctl	CPU microcode	physical-machine-only
hardware	thermald	Intel thermal management	physical-machine-only
# Do not promote source-system inventory into Fedora installation until proven by config/service/test usage.
dnf	tmux	tmux terminal multiplexer	confirmed-fedora44
dnf	cargo	cargo Rust package installer	required-wl-screenrec
